dataset,target,model,selector,n,n_groups,p1_mean,p1_std,p2_mean,p2_std,p3_mean,p3_std,group_leak_mean,group_leak_std,sel_leak_mean,sel_leak_std
deep_patato,chlorophyll,pls,ga,12,24,,,,,,,,,,
deep_patato,chlorophyll,pls,lasso,12,24,0.6808220852373342,0.032276747904234564,0.7049556090226438,1.1595901302887535e-16,0.47671337754074794,1.1595901302887535e-16,-0.024133523785309374,0.032276747904234564,0.2282422314818958,2.8989753257218837e-17
deep_patato,chlorophyll,pls,mutual_info,12,24,0.627232582331459,0.04124457128270573,0.6370409773297654,0.0,0.6421851372180144,0.005673203332698565,-0.0098083949983065,0.04124457128270573,-0.005144159888249021,0.005673203332698565
deep_patato,chlorophyll,pls,rfe,12,24,0.5580574323694688,0.0512871131791132,0.539683525067237,0.0,0.6020425649495798,1.1595901302887535e-16,0.01837390730223183,0.0512871131791132,-0.062359039882342815,0.0
ryckewaert,chlorophyll,pls,ga,12,204,,,,,,,,,,
ryckewaert,chlorophyll,pls,lasso,12,204,0.8597502126893596,0.006601863906065738,0.8669085604030417,1.1595901302887535e-16,0.8531390173554021,0.0,-0.0071583477136818825,0.006601863906065738,0.013769543047639443,0.0
ryckewaert,chlorophyll,pls,mutual_info,12,204,0.844299584132227,0.008159906192524024,0.8546330695957942,1.1595901302887535e-16,0.8449901478585581,0.00015531492427681848,-0.010333485463567188,0.008159906192524024,0.009642921737236318,0.00015531492427681853
ryckewaert,chlorophyll,pls,rfe,12,204,0.8451140741253446,0.007988917061386068,0.8511114479906334,0.0,0.8372044852813226,1.1595901302887535e-16,-0.005997373865288878,0.007988917061386068,0.013906962709310688,0.0
ryckewaert,flavonol,lightgbm,ga,12,204,,,,,,,,,,
ryckewaert,flavonol,lightgbm,lasso,12,204,0.33817426678445134,0.051114799100811376,0.3969511194123864,0.0,0.3559283281215658,0.0,-0.058776852627935104,0.051114799100811376,0.04102279129082065,0.0
ryckewaert,flavonol,lightgbm,mutual_info,12,204,0.20349144808790842,0.04283741371542019,0.2977933820664617,5.797950651443767e-17,0.29087133565696793,0.004281828561175727,-0.09430193397855341,0.04283741371542019,0.006922046409493819,0.004281828561175727
ryckewaert,flavonol,lightgbm,rfe,12,204,0.19245845995360053,0.07607852922704754,0.2726524381607884,5.797950651443767e-17,0.20643745223969953,2.8989753257218837e-17,-0.08019397820718778,0.07607852922704754,0.0662149859210888,1.4494876628609418e-17
ryckewaert,flavonol,pls,ga,12,204,,,,,,,,,,
ryckewaert,flavonol,pls,lasso,12,204,0.591858180417469,0.021168245506874447,0.5952126589408168,0.0,0.4108911919316754,5.797950651443767e-17,-0.0033544785233477667,0.021168245506874447,0.18432146700914132,0.0
ryckewaert,flavonol,pls,mutual_info,12,204,0.2508745049940398,0.05064918082727867,0.3024405507086665,0.0,0.28049747957068905,0.007395687459500971,-0.051566045714626745,0.05064918082727867,0.021943071137977468,0.00739568745950097
ryckewaert,flavonol,pls,rfe,12,204,0.23300257064107396,0.026258476401167522,0.24944049873632865,0.0,0.23881320378647256,2.8989753257218837e-17,-0.016437928095254656,0.026258476401167526,0.010627294949856064,0.0
# NOT: GA satirlari NaN. GA apparent maskesi checkpoint lerde
# saklanmiyor ve stokastik oldugu icin yeniden uretilemez.
# P2/P3 checkpointten (yeniden fit YOK); P1 random-KFold ile
# yeniden fit edildi (GA degil). Hepsi fold-ortalamasi R2, 12 seed.
