dataset,target,model,selector,n_seeds,n_unique_diff,degenerate,mean_apparent,mean_nested,mean_bias,wilcoxon_stat,p_value,p_value_fdr,significant_fdr,cliffs_delta,cliffs_interpretation,cohens_d,low_n_warning,mean_apparent_rmse,std_apparent_rmse,mean_nested_rmse,std_nested_rmse,mean_apparent_pooled
deep_patato,chlorophyll,pls,ga,12,12,False,0.7767304479945162,0.4418189924890488,0.33491145550546736,0.0,0.00048828125,0.0005580357142857143,True,1.0,büyük,9.24879318114546,False,3.041987249659011,0.05355850600348392,4.9630124582963004,0.12862710231040914,0.8074953619485816
deep_patato,chlorophyll,pls,lasso,12,1,True,0.7049556090226438,0.47671337754074794,0.2282422314818958,,,,False,,n/a,,False,3.6029994559045235,0.0,4.830139128549679,0.0,0.737001098104118
deep_patato,chlorophyll,pls,mutual_info,12,8,False,0.6370409773297654,0.6421851372180144,-0.005144159888249021,6.0,0.00537109375,0.00537109375,True,-0.8333333333333334,büyük,-0.9067469622672779,False,3.8524456501216933,0.0,3.9254367888833444,0.044098967979802346,0.6892434936978041
deep_patato,chlorophyll,pls,rfe,12,1,True,0.539683525067237,0.6020425649495798,-0.062359039882342815,,,,False,,n/a,,False,4.413800342176829,0.0,4.053719763371392,0.0,0.5956536782133807
ryckewaert,chlorophyll,pls,ga,12,12,False,0.8834083658461834,0.7801843227239394,0.10322404312224402,0.0,0.00048828125,0.0005580357142857143,True,1.0,büyük,6.589013674842051,False,3.1342438022817323,0.026530001135884874,4.287482287430299,0.15990862726610075,0.885085068662793
ryckewaert,chlorophyll,pls,lasso,12,1,True,0.8669085604030417,0.8531390173554021,0.013769543047639443,,,,False,,n/a,,False,3.3478352108958602,0.0,3.509617039119133,0.0,0.8694490788439729
ryckewaert,chlorophyll,pls,mutual_info,12,2,False,0.8546330695957942,0.8449901478585581,0.009642921737236318,0.0,0.00048828125,0.0005580357142857143,True,1.0,büyük,62.08625334710071,False,3.5086212496215587,0.0,3.61472064355956,0.0015774041759272865,0.8567857313324931
ryckewaert,chlorophyll,pls,rfe,12,1,True,0.8511114479906334,0.8372044852813226,0.013906962709310688,,,,False,,n/a,,False,3.551662204665174,0.0,3.715072726773903,0.0,0.8535537958694436
ryckewaert,flavonol,lightgbm,ga,12,12,False,0.5598657596825728,0.32233506270174167,0.23753069698083115,0.0,0.00048828125,0.0005580357142857143,True,1.0,büyük,19.146292849842688,False,0.3761518237087213,0.005913142804878249,0.46586196892372594,0.005643081765331349,0.5683162530360765
ryckewaert,flavonol,lightgbm,lasso,12,1,True,0.3969511194123864,0.3559283281215658,0.04102279129082065,,,,False,,n/a,,False,0.43939437316091673,0.0,0.4542960416205147,0.0,0.4088048351208064
ryckewaert,flavonol,lightgbm,mutual_info,12,8,False,0.2977933820664617,0.29087133565696793,0.006922046409493819,0.0,0.00048828125,0.0005580357142857143,True,1.0,büyük,1.6166098923851187,False,0.4737667845191648,0.0,0.4722190445338789,0.0017125324728400175,0.3150461773125658
ryckewaert,flavonol,lightgbm,rfe,12,1,True,0.2726524381607884,0.20643745223969953,0.0662149859210888,,,,False,,n/a,,False,0.4819840193577975,0.0,0.5003901788880482,0.0,0.2950459336604504
ryckewaert,flavonol,pls,ga,12,12,False,0.6148783808431916,0.26918553515810983,0.3456928456850818,0.0,0.00048828125,0.0005580357142857143,True,1.0,büyük,11.017590362272566,False,0.3522102624587032,0.004887775839729176,0.4806588600092537,0.010048556145754233,0.6185618014050328
ryckewaert,flavonol,pls,lasso,12,1,True,0.5952126589408168,0.4108911919316754,0.18432146700914132,,,,False,,n/a,,False,0.36321372802590285,0.0,0.43168634521642274,0.0,0.5919872037883033
ryckewaert,flavonol,pls,mutual_info,12,8,False,0.3024405507086665,0.28049747957068905,0.021943071137977468,0.0,0.00048828125,0.0005580357142857143,True,1.0,büyük,2.9670089843761587,False,0.4732393989375893,0.0,0.4795839194248759,0.0023429093588591752,0.3193746569055994
ryckewaert,flavonol,pls,rfe,12,1,True,0.24944049873632865,0.23881320378647256,0.010627294949856064,,,,False,,n/a,,False,0.49228122918467526,0.0,0.49297326702829203,0.0,0.2595891110353745

# ÖZET (toplu)
# 8/16 kombinasyonda seed-tabanlı test tanımlı (8 dejenere: seçici deterministik, fark seed'ler boyunca sabit → p/δ tanımsız, bias yine de raporlanır). BH-FDR 8 test üzerinden. Testli satırların 7'inde p_fdr<0.05 ve pozitif bias (anlamlı + yönü doğru). Pozitif bias: 14/16; FDR-anlamlı: 8/16; düşük-n uyarısı: 0/16.
# n_combos,16
# n_tested,8
# n_degenerate,8
# n_positive_bias,14
# n_significant_fdr,8
# n_significant_positive,7
# n_low_n_warning,0
