dataset,target,model,selector,n_seeds,apparent_pooled_mean,apparent_pooled_std,nested_pooled_mean,nested_pooled_std,bias_pooled_mean,bias_pooled_std,apparent_foldmean_mean,nested_foldmean_mean,bias_foldmean_mean,bias_delta_pooled_minus_foldmean,apparent_delta_pooled_minus_foldmean,sign_flips_vs_foldmean
deep_patato,chlorophyll,pls,ga,12,0.8074953619485816,0.0072016075693115906,0.49769082608471044,0.025924492233244164,0.3098045358638712,0.024147401631843594,0.7767304479945162,0.4418189924890487,0.33491145550546736,-0.02510691964159617,0.030764913954065443,False
deep_patato,chlorophyll,pls,lasso,12,0.737001098104118,0.0,0.5240397777415469,0.0,0.2129613203625711,0.0,0.7049556090226435,0.4767133775407478,0.2282422314818958,-0.015280911119324697,0.03204548908147442,False
deep_patato,chlorophyll,pls,mutual_info,12,0.6892434936978041,0.0,0.6807835323671197,0.00765211468367887,0.008459961330684282,0.0076521146836789015,0.6370409773297654,0.6421851372180144,-0.005144159888248983,0.013604121218933264,0.05220251636803874,True
deep_patato,chlorophyll,pls,rfe,12,0.5956536782133807,0.0,0.6555269127940447,0.0,-0.05987323458066407,0.0,0.539683525067237,0.6020425649495799,-0.062359039882342794,0.0024858053016787243,0.05597015314614362,False
ryckewaert,chlorophyll,pls,ga,12,0.885085068662793,0.0018657786722035014,0.7830006749594213,0.017430488894108906,0.10208439370337169,0.017583406758218456,0.8834083658461834,0.7801843227239394,0.103224043122244,-0.0011396494188723044,0.0016767028166095876,False
ryckewaert,chlorophyll,pls,lasso,12,0.8694490788439729,0.0,0.8560998566180674,0.0,0.0133492222259054,0.0,0.8669085604030414,0.8531390173554021,0.0137695430476394,-0.00042032082173400036,0.002540518440931505,False
ryckewaert,chlorophyll,pls,mutual_info,12,0.8567857313324931,0.0,0.8477134177496675,0.0001493306418985128,0.00907231358282575,0.00014933064189851395,0.8546330695957943,0.844990147858558,0.009642921737236293,-0.0005706081544105436,0.0021526617366988132,False
ryckewaert,chlorophyll,pls,rfe,12,0.8535537958694436,0.0,0.8395217882065689,0.0,0.014032007662874824,0.0,0.8511114479906334,0.8372044852813229,0.0139069627093106,0.0001250449535642236,0.002442347878810147,False
ryckewaert,flavonol,lightgbm,ga,12,0.5683162530360765,0.013969870727178148,0.3374534341274084,0.0163837938231832,0.2308628189086681,0.011726195557506671,0.5598657596825728,0.32233506270174167,0.23753069698083115,-0.0066678780721630415,0.008450493353503674,False
ryckewaert,flavonol,lightgbm,lasso,12,0.4088048351208064,0.0,0.37105195097349125,0.0,0.03775288414731515,0.0,0.3969511194123864,0.3559283281215658,0.0410227912908206,-0.003269907143505453,0.011853715708419976,False
ryckewaert,flavonol,lightgbm,mutual_info,12,0.3150461773125658,0.0,0.3207232905771356,0.004492742574714847,-0.00567711326456984,0.004492742574714842,0.2977933820664618,0.29087133565696793,0.006922046409493741,-0.012599159674063581,0.017252795246104013,True
ryckewaert,flavonol,lightgbm,rfe,12,0.2950459336604504,0.0,0.2333188343971283,0.0,0.061727099263322094,0.0,0.2726524381607883,0.20643745223969953,0.0662149859210888,-0.004487886657766713,0.022393495499662075,False
ryckewaert,flavonol,pls,ga,12,0.6185618014050328,0.010594750458252662,0.27774101334156287,0.03014935599302438,0.34082078806346994,0.03439190455173576,0.6148783808431916,0.26918553515810983,0.3456928456850818,-0.004872057621611858,0.003683420561841233,False
ryckewaert,flavonol,pls,lasso,12,0.5919872037883033,0.0,0.4278869721056906,0.0,0.16410023168261267,0.0,0.5952126589408168,0.4108911919316754,0.1843214670091413,-0.020221235326528614,-0.00322545515251349,False
ryckewaert,flavonol,pls,mutual_info,12,0.3193746569055994,0.0,0.2992996232304145,0.006572930299813218,0.020075033675184917,0.006572930299813218,0.3024405507086665,0.280497479570689,0.021943071137977433,-0.0018680374627925156,0.01693410619693292,False
ryckewaert,flavonol,pls,rfe,12,0.2595891110353745,0.0,0.2602121165261555,0.0,-0.0006230054907809812,0.0,0.2494404987363286,0.2388132037864725,0.010627294949856,-0.011250300440636981,0.010148612299045928,True
